Date,Value,Country
2006,61.08,United Kingdom
2007,69.08,United Kingdom
2008,94.45,United Kingdom
2009,61.06,United Kingdom
2010,77.45,United Kingdom
2011,107.46,United Kingdom
2012,109.45,United Kingdom
2013,105.87,United Kingdom
2014,96.29,United Kingdom
2015,49.49,United Kingdom
