Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Germany,DEU,38000.6877025003,38580.0225108268,38515.2130641358,38220.6251301825,38676.1907201262,38971.641894822,40459.2661435109,41834.3577183285,42367.6198736368,40088.4914484135,41788.0447853084,43306.5024457091,44223.65407233,43433.5543425469,44755.1789355194,45269.789138901
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Greece,GRC,23276.8301041109,24112.8530246485,24967.0804551074,26350.8461474239,27616.050070383,27700.1597581158,29178.1300014771,30056.6788282246,29876.5221597968,28516.5078392329,26919.3616367757,24497.1695861201,22831.8860868615,22262.5139073116,22557.868502824,22648.4383226152
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Hungary,HUN,10434.5403004544,10861.0650039144,11380.090678115,11851.428258087,12464.1880185966,13032.8503139794,13550.0106932838,13628.8060860175,13767.2839549632,12884.2203956082,13009.3453790731,13275.549249515,13118.9155165825,13403.6913931582,13933.387510987,14374.6125754616
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Ireland,IRL,43025.9186274839,44816.5783298297,46683.8372375911,47694.2437241082,48893.0970455679,50869.5885323432,52640.8183538548,53975.3866041739,51742.5122235161,48331.6911117954,48260.6653583236,49329.6988680995,49295.4279828993,49878.5409896778,52256.7712129204,56053.7284890382
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Italy,ITA,36182.9329284672,36803.4843484301,36840.0562842598,36732.1635116695,37072.537726222,37241.153254846,37874.4231380546,38239.0732158748,37587.5752225003,35365.5064407027,35851.5080738451,35996.277664598,34887.3730078628,33882.4076108326,33457.747675813,33704.6929159775
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Latvia,LVA,6918.20313779972,7460.66349376436,8084.6342743943,8850.85547377728,9694.37098403555,10848.4149353042,12251.4797225432,13582.1916417163,13231.8843363474,11521.918991665,11319.517002394,12243.5379615342,12892.8503230116,13425.448637649,13872.2099141897,14243.5695268765
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Lithuania,LTU,6935.83799648768,7449.49422088695,8017.23786450178,8934.41804260199,9627.13697297359,10541.3301956761,11504.2613677762,12932.4554946894,13409.5385650027,11550.5694917551,11988.757967609,13003.8635772158,13684.9579359741,14314.184867887,14875.6145219121,15227.8169783057
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Luxembourg,LUX,91826.3604391534,92693.1829814711,95048.3821830667,95212.7342123373,98009.6886985688,99626.0502982551,103060.485479335,110001.052305633,107141.245342114,99520.2130218901,103267.276511115,103588.589182702,100273.850824754,102241.924663999,103923.889777423,106408.573638395
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Malta,MLT,18236.3742867161,17420.8673180037,17777.6415958624,17684.4240930935,17477.6517687123,18003.187552238,18336.6326157816,19054.7284174676,19669.46511653,18975.1247052845,19694.0831567142,19885.3670986453,19951.3560532705,20339.908069156,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Netherlands,NLD,46135.9230719291,46761.660729567,46512.2862704562,46424.7887740823,47203.2349619227,48110.449770113,49723.35516359,51450.3227074513,52121.1956176542,49900.1960021781,50341.251919716,50940.5857116201,50215.9537467881,49820.098263954,50143.0894607736,50925.2938315217
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Poland,POL,8594.98303819577,8700.97852503746,8830.66640348353,9151.43627222706,9627.05394258473,9972.91313980243,10597.2180799958,11366.5671182121,11810.5688980258,12113.4694424248,12597.4587924553,13221.2930348209,13427.8029593749,13605.8350830655,14062.9734675565,14580.9280278595
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Romania,ROM,4900.53893798355,5247.29094684965,5621.29082771541,5974.76524385714,6511.16568437516,6824.82145977214,7418.41602918438,8045.57565851951,8872.77897047769,8314.73633184719,8297.48362072379,8426.47469757906,8518.32291889489,8851.96471979389,9148.10096462516,9526.58540065373
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Portugal,PRT,21514.7405054951,21778.7045010858,21826.2750557511,21541.3519337897,21879.2094056451,22006.1095729571,22307.6118952116,22818.6800710461,22831.2070131247,22130.1629255088,22539.9960076117,22160.7946538119,21354.5014952699,21229.3531431236,21537.4628307345,21961.3872995745
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Slovenia,SVN,18571.8016163512,19089.460655491,19797.2448022826,20347.6302121039,21219.5165272281,22030.7389797625,23202.6400149832,24674.8975742716,25448.9636212217,23253.4808214028,23438.8471646302,23542.0886646128,22854.1252943617,22581.6892633212,23247.1856119261,23895.7887894427
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Slovak Republic,SVK,10297.4678329784,10658.4683063754,11144.5791175405,11756.207922016,12376.9677723129,13167.4661503076,14284.1360680697,15827.12284678,16707.4524323818,15768.9586052431,16554.8787976196,17003.4205379764,17233.0855495923,17460.3986815663,17883.3706721494,18507.8340388719
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Spain,ESP,28551.1287747273,29334.452290533,29687.131388114,30084.417570045,30506.1736313589,31111.8967307432,31867.2962337273,32461.8500088153,32304.6171614024,30875.4214343657,30737.8322708385,30322.4900969539,29508.7822260003,29110.6341241773,29595.0773484299,30587.5514671385
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Sweden,SWE,44693.8864545132,45270.932862606,46059.5212216961,46983.2347981761,48820.7697828916,49996.3428525087,52046.656019901,53421.1993582227,52711.3750056458,49554.5095831301,52076.4305245885,53061.7464872864,52519.8565348027,52723.089076326,53385.9673909306,54988.6166915624
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,United Kingdom,GBR,34834.9251731502,35658.1448986166,36393.0366743881,37432.6420234003,38146.4872650731,39020.6505961731,39765.9351861236,40477.8789703195,39973.054915294,38008.8212044811,38292.8711313583,38744.1184359942,38929.3084565094,39504.7589498634,40326.8187145611,40933.4628007271
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,
Last Updated: 10/14/2016,,,,,,,,,,,,,,,,,,,
